race_id,season,round,circuit_id,driver_id,constructor_id,grid_position,finish_position,points,status_str,is_wet,track_temp,quali_position,circuit_type,circuit_type_code,circuit_type_Balanced/Technical,circuit_type_High-Downforce,circuit_type_Power/High-Speed,circuit_type_Street Circuit,driver_form_3races,circuit_historical_avg,constructor_points_current,constructor_mechanical_dnf,constructor_dnf_rate_10races
2022_1,2022,1,bahrain,albon,williams,14,13,0.0,Finished,0,25.0,14.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,alonso,alpine,8,9,2.0,Finished,0,25.0,8.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,bottas,alfa,6,6,8.0,Finished,0,25.0,6.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,gasly,alphatauri,10,20,0.0,Power Unit,0,25.0,10.0,Balanced/Technical,2,1,0,0,0,,,0.0,1,
2022_1,2022,1,bahrain,hamilton,mercedes,5,3,15.0,Finished,0,25.0,5.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,hulkenberg,aston_martin,17,17,0.0,Finished,0,25.0,17.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,leclerc,ferrari,1,1,26.0,Finished,0,25.0,1.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,norris,mclaren,13,15,0.0,Finished,0,25.0,13.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,ocon,alpine,11,7,6.0,Finished,0,25.0,11.0,Balanced/Technical,2,1,0,0,0,,,2.0,0,
2022_1,2022,1,bahrain,perez,red_bull,4,18,0.0,Fuel pressure,0,25.0,4.0,Balanced/Technical,2,1,0,0,0,,,0.0,1,
2022_1,2022,1,bahrain,russell,mercedes,9,4,12.0,Finished,0,25.0,9.0,Balanced/Technical,2,1,0,0,0,,,15.0,0,
2022_1,2022,1,bahrain,sainz,ferrari,3,2,18.0,Finished,0,25.0,3.0,Balanced/Technical,2,1,0,0,0,,,26.0,0,
2022_1,2022,1,bahrain,stroll,aston_martin,19,12,0.0,Finished,0,25.0,19.0,Balanced/Technical,2,1,0,0,0,,,0.0,0,
2022_1,2022,1,bahrain,verstappen,red_bull,2,19,0.0,Fuel pressure,0,25.0,2.0,Balanced/Technical,2,1,0,0,0,,,0.0,1,
2022_2,2022,2,jeddah,albon,williams,16,14,0.0,Collision damage,0,25.0,17.0,Street Circuit,3,0,0,0,1,13.0,,0.0,0,
2022_2,2022,2,jeddah,alonso,alpine,7,16,0.0,Water pump,1,20.0,7.0,Street Circuit,3,0,0,0,1,9.0,,8.0,0,
2022_2,2022,2,jeddah,bottas,alfa,8,15,0.0,Cooling system,0,25.0,8.0,Street Circuit,3,0,0,0,1,6.0,,8.0,1,
2022_2,2022,2,jeddah,gasly,alphatauri,9,8,4.0,Finished,0,25.0,9.0,Street Circuit,3,0,0,0,1,20.0,,0.0,0,
2022_2,2022,2,jeddah,hamilton,mercedes,15,10,1.0,Finished,0,25.0,16.0,Street Circuit,3,0,0,0,1,3.0,,27.0,0,
2022_2,2022,2,jeddah,hulkenberg,aston_martin,17,12,0.0,Finished,0,25.0,18.0,Street Circuit,3,0,0,0,1,17.0,,0.0,0,
2022_2,2022,2,jeddah,leclerc,ferrari,2,2,19.0,Finished,0,25.0,2.0,Street Circuit,3,0,0,0,1,1.0,,44.0,0,
2022_2,2022,2,jeddah,norris,mclaren,11,7,6.0,Finished,0,25.0,11.0,Street Circuit,3,0,0,0,1,15.0,,0.0,0,
2022_2,2022,2,jeddah,ocon,alpine,5,6,8.0,Finished,0,25.0,5.0,Street Circuit,3,0,0,0,1,7.0,,8.0,0,0.0
2022_2,2022,2,jeddah,perez,red_bull,1,4,12.0,Finished,0,25.0,1.0,Street Circuit,3,0,0,0,1,18.0,,0.0,0,
2022_2,2022,2,jeddah,russell,mercedes,6,5,10.0,Finished,0,25.0,6.0,Street Circuit,3,0,0,0,1,4.0,,28.0,0,0.0
2022_2,2022,2,jeddah,sainz,ferrari,3,3,15.0,Finished,0,25.0,3.0,Street Circuit,3,0,0,0,1,2.0,,63.0,0,0.0
2022_2,2022,2,jeddah,stroll,aston_martin,13,13,0.0,+1 Lap,0,25.0,15.0,Street Circuit,3,0,0,0,1,12.0,,0.0,0,0.0
2022_2,2022,2,jeddah,verstappen,red_bull,4,1,25.0,Finished,0,25.0,4.0,Street Circuit,3,0,0,0,1,19.0,,12.0,0,0.6666666666666666
2022_3,2022,3,albert_park,albon,williams,20,10,1.0,Finished,0,25.0,16.0,Balanced/Technical,2,1,0,0,0,13.5,,0.0,0,
2022_3,2022,3,albert_park,alonso,alpine,10,17,0.0,+1 Lap,0,25.0,10.0,Balanced/Technical,2,1,0,0,0,12.5,,16.0,0,0.0
2022_3,2022,3,albert_park,bottas,alfa,12,8,4.0,Finished,0,25.0,12.0,Balanced/Technical,2,1,0,0,0,10.5,,8.0,0,
2022_3,2022,3,albert_park,gasly,alphatauri,11,9,2.0,Finished,0,25.0,11.0,Balanced/Technical,2,1,0,0,0,14.0,,4.0,0,
2022_3,2022,3,albert_park,hamilton,mercedes,5,4,12.0,Finished,0,25.0,5.0,Balanced/Technical,2,1,0,0,0,6.5,,38.0,0,0.0
2022_3,2022,3,albert_park,leclerc,ferrari,1,1,26.0,Finished,0,25.0,1.0,Balanced/Technical,2,1,0,0,0,1.5,,78.0,0,0.0
2022_3,2022,3,albert_park,norris,mclaren,4,5,10.0,Finished,0,25.0,4.0,Balanced/Technical,2,1,0,0,0,11.0,,6.0,0,
2022_3,2022,3,albert_park,ocon,alpine,8,7,6.0,Finished,0,25.0,8.0,Balanced/Technical,2,1,0,0,0,6.5,,16.0,0,0.0
2022_3,2022,3,albert_park,perez,red_bull,3,2,18.0,Finished,0,25.0,3.0,Balanced/Technical,2,1,0,0,0,11.0,,37.0,0,0.5
2022_3,2022,3,albert_park,russell,mercedes,6,3,15.0,Finished,0,25.0,6.0,Balanced/Technical,2,1,0,0,0,4.5,,50.0,0,0.0
2022_3,2022,3,albert_park,sainz,ferrari,9,20,0.0,Spun off,0,25.0,9.0,Balanced/Technical,2,1,0,0,0,2.5,,104.0,0,0.0
2022_3,2022,3,albert_park,stroll,aston_martin,19,12,0.0,Finished,0,25.0,20.0,Balanced/Technical,2,1,0,0,0,12.5,,0.0,0,0.0
2022_3,2022,3,albert_park,verstappen,red_bull,2,18,0.0,Fuel leak,0,25.0,2.0,Balanced/Technical,2,1,0,0,0,10.0,,55.0,1,0.4
2022_4,2022,4,imola,albon,williams,18,11,0.0,+1 Lap,0,25.0,20.0,Balanced/Technical,2,1,0,0,0,12.333333333333334,,1.0,0,0.0
2022_4,2022,4,imola,alonso,alpine,9,19,0.0,Collision damage,0,25.0,5.0,Balanced/Technical,2,1,0,0,0,14.0,,22.0,0,0.0
2022_4,2022,4,imola,bottas,alfa,7,5,10.0,Finished,0,25.0,8.0,Balanced/Technical,2,1,0,0,0,9.666666666666666,,12.0,0,0.3333333333333333
